ip,expected_state_name,service_state_name,note
103.109.222.123,Arunachal Pradesh,Tripura,
27.59.123.56,Karnataka,Madhya Pradesh,
117.209.223.37,Manipur,Nagaland,
106.221.123.94,West Bengal,Arunachal Pradesh,
203.200.29.153,Karnataka,Telangana,
117.99.211.101,Meghalaya,Arunachal Pradesh,
157.34.11.202,Chhattisgarh,Madhya Pradesh,
117.252.23.142,Bihar,Andaman and Nicobar,
106.221.113.202,Nagaland,Arunachal Pradesh,
223.239.95.70,Meghalaya,Nagaland,
203.199.11.42,National Capital Territory of Delhi,Maharashtra,
122.184.129.157,National Capital Territory of Delhi,Haryana,
103.164.197.203,Maharashtra,Goa,
152.56.70.45,Himachal Pradesh,Chandigarh,
14.140.10.1,Uttar Pradesh,Haryana,
49.205.218.45,Karnataka,Andhra Pradesh,
14.142.213.245,Telangana,,
117.252.14.237,Haryana,Andaman and Nicobar,
223.238.127.135,Nagaland,Assam,
117.219.7.154,Haryana,Punjab,
182.78.155.202,National Capital Territory of Delhi,Maharashtra,
157.42.251.162,Jharkhand,Bihar,
122.185.51.34,Uttar Pradesh,Haryana,
152.59.86.62,Uttar Pradesh,Chandigarh,
106.211.27.160,Uttar Pradesh,Uttarakhand,
122.180.243.112,Haryana,National Capital Territory of Delhi,
106.221.121.250,West Bengal,Arunachal Pradesh,
182.156.223.153,National Capital Territory of Delhi,Tamil Nadu,
203.134.205.149,Punjab,Chandigarh,
117.209.223.6,Manipur,Nagaland,
124.124.201.231,Tamil Nadu,,
125.20.96.98,Uttar Pradesh,National Capital Territory of Delhi,
117.252.22.42,Bihar,Andaman and Nicobar,
182.156.205.23,Rajasthan,Tamil Nadu,
223.231.83.61,Assam,Meghalaya,
182.76.15.89,National Capital Territory of Delhi,Tamil Nadu,
27.56.74.26,Meghalaya,Tripura,
103.109.222.66,Arunachal Pradesh,Tripura,
43.241.119.85,Maharashtra,,
103.174.253.98,National Capital Territory of Delhi,,
203.200.121.163,Karnataka,Telangana,
14.140.181.213,Kerala,Telangana,
117.209.223.30,Manipur,Nagaland,
117.222.218.23,Gujarat,Dadra and Nagar Haveli and Daman and Diu,
121.243.92.134,Karnataka,Haryana,
117.252.18.99,Bihar,Andaman and Nicobar,
14.194.140.203,Tamil Nadu,Telangana,
103.120.253.68,Maharashtra,,
61.2.17.83,Tamil Nadu,Union Territory of Puducherry,
152.59.164.111,West Bengal,Sikkim,
111.92.91.187,Karnataka,Kerala,
103.164.197.57,Maharashtra,Goa,
117.232.147.135,National Capital Territory of Delhi,Kerala,
117.253.203.200,Uttar Pradesh,Himachal Pradesh,
203.200.29.81,Karnataka,Telangana,
103.109.222.87,Arunachal Pradesh,Tripura,
157.38.24.219,Uttar Pradesh,Rajasthan,
117.252.30.23,Bihar,Andaman and Nicobar,
223.239.111.200,Meghalaya,Arunachal Pradesh,
180.87.69.53,North West,,
122.186.168.134,Maharashtra,National Capital Territory of Delhi,
198.147.160.88,Maharashtra,,
117.99.211.95,Meghalaya,Arunachal Pradesh,
115.113.240.118,Haryana,Uttar Pradesh,
121.241.209.141,Karnataka,Uttar Pradesh,
103.149.16.49,Telangana,,
152.58.232.214,Karnataka,West Bengal,
223.176.4.8,Tamil Nadu,Arunachal Pradesh,
115.246.199.128,Telangana,Andhra Pradesh,
180.179.197.73,Maharashtra,Uttar Pradesh,
196.1.113.23,Maharashtra,,
121.241.180.39,Karnataka,Uttar Pradesh,
117.248.104.58,Maharashtra,Gujarat,
152.58.49.195,Maharashtra,Gujarat,
223.238.3.18,Telangana,Andhra Pradesh,
